name,address,category,monthly_price,notes,lat,lng
Anytime Fitness,"3673 Lexington Ave N, Arden Hills, MN 55126",Full-Service,60,29.99 bi-weekly,45.063579122097885, -93.15089066888721
Anytime Fitness,"2680 Rice St, Little Canada, MN 55117",Full-Service,60,29.99 bi-weekly,45.032531168517544, -93.10488541963055
Anytime Fitness,"2515 White Bear Ave, Maplewood, MN 55109",Full-Service,60,29.99 bi-weekly,45.02213355128326, -93.02139103784944
Anytime Fitness,"2689 County Rd E E, White Bear Lake, MN 55110",Full-Service,66,32.99 bi-weekly,45.05710102146417, -92.98840056964849
Anytime Fitness,"4600 Centerville Rd, White Bear Lake, MN 55127",Full-Service,60,29.99 bi-weekly,45.08653073701781, -93.05698601669782
Anytime Fitness,"9175 S Hwy Dr, Circle Pines, MN 55014",Full-Service,53,26.50 bi-weekly,45.14403120842959, -93.16590883953138
Anytime Fitness,"14643 Mercantile Dr N, Hugo, MN 55038",Full-Service,60,29.99 bi-weekly,45.1696938392937, -93.01416018340163

Snap Fitness,"4070 Lakeland Ave N, Minneapolis, MN 55422",Full-Service,50,,45.034472159384684, -93.33596366173174
Snap Fitness,"7210 Minnetonka Blvd, St Louis Park, MN 55426",Full-Service,45,,44.953726049512, -93.37000940763326
Snap Fitness,"4402 France Ave S, Edina, MN 55410",Full-Service,50,,44.92597446864991, -93.33032283200606
Snap Fitness,"5409 Nicollet Ave Ste b, Minneapolis, MN 55419",Full-Service,35,,44.91038282713006, -93.27822139514446
Snap Fitness,"1574 154th Ave NW #104, Andover, MN 55304",Full-Service,54,,45.255688265324885, -93.30500328860595
Snap Fitness,"5676 La Centre Ave Ste 200, Albertville, MN 55301",Full-Service,49,,45.25313841976439, -93.6616664019404
Snap Fitness,"8507 Jefferson Ln N, Brooklyn Park, MN 55445",Full-Service,50,,45.11416412728897, -93.40017857602706
Snap Fitness,"4671 Shoreline Dr, Spring Park, MN 55384",Full-Service,50,45 for 12-month,44.94997820405807, -93.64105129151075
Snap Fitness,"1495 Stieger Lake Ln, Victoria, MN 55386",Full-Service,50,,44.86925291888627, -93.65854463574662
Snap Fitness,"2411 Galpin Ct #110, Chanhassen, MN 55317",Full-Service,60,,44.85757241263379, -93.58164033942747
Snap Fitness,"1012 Gateway Dr, Chaska, MN 55318",Full-Service,50,,44.808390976694355, -93.57752046641038
Snap Fitness,"16731 State Hwy 13 #120, Prior Lake, MN 55372",Full-Service,55,,44.726979102679664, -93.43642847223722
Snap Fitness,"1024 County Rd 42 E, Burnsville, MN 55337",Full-Service,50,,44.75136594872721, -93.2551540594849
Snap Fitness,"7367 179th St W, Lakeville, MN 55044",Full-Service,54,,44.704534120006045, -93.20983545629682
